!!SBtab	SBtabVersion='1.0' TableName='Experiments' TableTitle='Model Inputs and Measurement Mapping' TableType='QuantityMatrix' Document='D1 LTP time window'																									
!ID	!Name	!Type	>Output	!Sim_Time	!Event	>S0	>S9	>S10	>S16	>S24	>S25	>S29	>S38	>S39	>S41	>S47	>S48	>S52	>S62	>S64	>S68	>S77	>S85	>S91	>INP0	>INP1
E0	Simulation	Time Series	Y0,Y1,Y2,Y3	20	EE0	700	5000000	2000	2000	60	9000	20000	3000	1800	2000	50000	20	2000	2000	700	1200	3000	4000	20000	100	1480
E1	Simulation	Time Series	Y0,Y1,Y2,Y3	20	EE1	700	5000000	2000	2000	60	9000	20000	3000	1800	2000	50000	20	2000	2000	700	1200	3000	4000	20000	100	1480
E2	Simulation	Time Series	Y0,Y1,Y2,Y3	20	EE2	700	5000000	2000	2000	60	9000	20000	3000	1800	2000	50000	20	2000	2000	700	1200	3000	4000	20000	100	1480
E3	Simulation	Time Series	Y0,Y1,Y2,Y3	20	EE3	700	5000000	2000	2000	60	9000	20000	3000	1800	2000	50000	20	2000	2000	700	1200	3000	4000	20000	100	1480
E4	Simulation	Time Series	Y0,Y1,Y2,Y3	20	EE4	700	5000000	2000	2000	60	9000	20000	3000	1800	2000	50000	20	2000	2000	700	1200	3000	4000	20000	100	1480
E5	Simulation	Time Series	Y0,Y1,Y2,Y3	20	EE5	700	5000000	2000	2000	60	9000	20000	3000	1800	2000	50000	20	2000	2000	700	1200	3000	4000	20000	100	1480
E6	Simulation	Time Series	Y0,Y1,Y2,Y3	20	EE6	700	5000000	2000	2000	60	9000	20000	3000	1800	2000	50000	20	2000	2000	700	1200	3000	4000	20000	100	1480
E7	Simulation	Time Series	Y0,Y1,Y2,Y3	20	EE7	700	5000000	2000	2000	60	9000	20000	3000	1800	2000	50000	20	2000	2000	700	1200	3000	4000	20000	100	1480
E8	Simulation	Time Series	Y0,Y1,Y2,Y3	20	EE8	700	5000000	2000	2000	60	9000	20000	3000	1800	2000	50000	20	2000	2000	700	1200	3000	4000	20000	100	1480
E9	Simulation	Time Series	Y0,Y1,Y2,Y3	20	EE9	700	5000000	2000	2000	60	9000	20000	3000	1800	2000	50000	20	2000	2000	700	1200	3000	4000	20000	100	1480
