!!SBtabSBtabVersion='1.0'	TableName='Output' TableTitle='These Outputs describe how well the SteadyState has been achieved' TableType='Quantity' Document='D1_LTP_time_window'
!ID	!Name	!Comment	!ErrorName	!ErrorType	!Unit	!ProbDist	!Formula
YSSS0	AC5_NetFlux	measures deviation from steady state	GAMMA_YSSS0	Weight	nM	Normal	-ReactionFlux4-ReactionFlux28-ReactionFlux49+ReactionFlux57-ReactionFlux58+ReactionFlux63
YSSS9	ATP_NetFlux	measures deviation from steady state	GAMMA_YSSS9	Weight	nM	Normal	-ReactionFlux48-ReactionFlux49-ReactionFlux50-ReactionFlux51
YSSS10	B56PP2A_NetFlux	measures deviation from steady state	GAMMA_YSSS10	Weight	nM	Normal	-ReactionFlux10-ReactionFlux30+ReactionFlux31+ReactionFlux37+ReactionFlux89-ReactionFlux90
YSSS16	B72PP2A_NetFlux	measures deviation from steady state	GAMMA_YSSS16	Weight	nM	Normal	-ReactionFlux16-ReactionFlux18+ReactionFlux21+ReactionFlux33-ReactionFlux35+ReactionFlux85-ReactionFlux86
YSSS24	Ca_NetFlux	measures deviation from steady state	GAMMA_YSSS24	Weight	nM	Normal	-ReactionFlux5-ReactionFlux16-ReactionFlux24-ReactionFlux25-ReactionFlux26-ReactionFlux28-ReactionFlux54-ReactionFlux73-ReactionFlux74-ReactionFlux75-ReactionFlux76-ReactionFlux115-ReactionFlux116-ReactionFlux123-ReactionFlux124
YSSS25	CaM_NetFlux	measures deviation from steady state	GAMMA_YSSS25	Weight	nM	Normal	-ReactionFlux5-ReactionFlux6-ReactionFlux72-ReactionFlux79-ReactionFlux114-ReactionFlux122
YSSS29	CaMKII_NetFlux	measures deviation from steady state	GAMMA_YSSS29	Weight	nM	Normal	-ReactionFlux70-ReactionFlux71-ReactionFlux72+ReactionFlux95+ReactionFlux119
YSSS38	Substrate_NetFlux	measures deviation from steady state	GAMMA_YSSS38	Weight	nM	Normal	+ReactionFlux92-ReactionFlux93-ReactionFlux96-ReactionFlux98-ReactionFlux100-ReactionFlux102-ReactionFlux104-ReactionFlux106
YSSS39	CDK5_NetFlux	measures deviation from steady state	GAMMA_YSSS39	Weight	nM	Normal	-ReactionFlux13+ReactionFlux14
YSSS41	D1R_NetFlux	measures deviation from steady state	GAMMA_YSSS41	Weight	nM	Normal	-ReactionFlux3-ReactionFlux67
YSSS47	DA_NetFlux	measures deviation from steady state	GAMMA_YSSS47	Weight	nM	Normal	-ReactionFlux2-ReactionFlux3
YSSS48	D32_NetFlux	measures deviation from steady state	GAMMA_YSSS48	Weight	nM	Normal	-ReactionFlux8-ReactionFlux13+ReactionFlux20+ReactionFlux21+ReactionFlux22+ReactionFlux31+ReactionFlux32+ReactionFlux33+ReactionFlux36
YSSS52	Golf_NetFlux	measures deviation from steady state	GAMMA_YSSS52	Weight	nM	Normal	+ReactionFlux47-ReactionFlux67-ReactionFlux68
YSSS62	PDE4_NetFlux	measures deviation from steady state	GAMMA_YSSS62	Weight	nM	Normal	-ReactionFlux41+ReactionFlux42
YSSS64	PDE10r_NetFlux	measures deviation from steady state	GAMMA_YSSS64	Weight	nM	Normal	-ReactionFlux43+ReactionFlux44-ReactionFlux45
YSSS68	PKA_NetFlux	measures deviation from steady state	GAMMA_YSSS68	Weight	nM	Normal	-ReactionFlux38
YSSS77	PP1_NetFlux	measures deviation from steady state	GAMMA_YSSS77	Weight	nM	Normal	-ReactionFlux12-ReactionFlux91+ReactionFlux92-ReactionFlux117+ReactionFlux118
YSSS85	PP2B_NetFlux	measures deviation from steady state	GAMMA_YSSS85	Weight	nM	Normal	-ReactionFlux6-ReactionFlux7-ReactionFlux27
YSSS91	ARPP21_NetFlux	measures deviation from steady state	GAMMA_YSSS91	Weight	nM	Normal	-ReactionFlux80+ReactionFlux83+ReactionFlux85+ReactionFlux87+ReactionFlux89
